"workerid","color","percentage_blue","modal","rating","speaker_cond"
8,"""blue""",100,"""probably""",1,"f"
8,"""blue""",0,"""might""",0,"f"
8,"""blue""",10,"""might""",0.82,"f"
8,"""blue""",25,"""might""",0.88,"f"
8,"""blue""",40,"""might""",0.71,"f"
8,"""blue""",50,"""might""",0.57,"f"
8,"""blue""",60,"""might""",0.47,"f"
8,"""blue""",75,"""might""",0.33,"f"
8,"""blue""",90,"""might""",0.28,"f"
8,"""blue""",100,"""might""",0,"f"
8,"""orange""",0,"""probably""",0.7,"f"
8,"""orange""",10,"""probably""",0.86,"f"
8,"""orange""",25,"""probably""",0.81,"f"
8,"""orange""",40,"""probably""",0.68,"f"
8,"""orange""",50,"""probably""",0.61,"f"
8,"""orange""",60,"""probably""",0.41,"f"
8,"""orange""",75,"""probably""",0.2,"f"
8,"""orange""",90,"""probably""",0,"f"
8,"""orange""",100,"""probably""",0,"f"
8,"""orange""",0,"""might""",0,"f"
8,"""orange""",10,"""might""",0,"f"
8,"""orange""",25,"""might""",0.22,"f"
8,"""orange""",40,"""might""",0.31,"f"
8,"""orange""",50,"""might""",0.49,"f"
8,"""orange""",60,"""might""",0.58,"f"
8,"""orange""",75,"""might""",0.69,"f"
8,"""orange""",90,"""might""",0.81,"f"
8,"""orange""",100,"""might""",0,"f"
9,"""blue""",0,"""might""",0,"f"
9,"""blue""",10,"""might""",0.26,"f"
9,"""blue""",25,"""might""",0.5,"f"
9,"""blue""",40,"""might""",0.84,"f"
9,"""blue""",50,"""might""",1,"f"
9,"""blue""",60,"""might""",0.61,"f"
9,"""blue""",75,"""might""",0.47,"f"
9,"""blue""",90,"""might""",0.42,"f"
9,"""blue""",100,"""might""",0.24,"f"
9,"""orange""",0,"""bare""",1,"f"
9,"""orange""",10,"""bare""",0.82,"f"
9,"""orange""",25,"""bare""",0.62,"f"
9,"""orange""",40,"""bare""",0,"f"
9,"""orange""",50,"""bare""",0,"f"
9,"""orange""",60,"""bare""",0.02,"f"
9,"""orange""",75,"""bare""",0.05,"f"
