"","pair","reverse_sent_order","sentence1","sentence2","modal1","modal2","rating1","rating2","rating_other","percentage_blue","color","xxx","catch_trial","catch_trial_answer_correct","speaker","condition","phase","language","gender","age","misread_instructions","trial","subjectid","date"
"55","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.54,0.46,0,40,"orange",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,54,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"56","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.46,0.54,1.11022302463e-16,10,"blue",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,55,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"57","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.31,0.57,0.12,40,"blue",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,56,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"58","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.31,0.47,0.22,60,"orange",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,57,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"59","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.47,0.49,0.04,0,"orange",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,58,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"60","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.61,0.39,0,75,"blue",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,59,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"61","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.23,0.47,0.3,50,"orange",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,60,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"62","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.42,0.52,0.06,0,"blue",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,61,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"63","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.3,0.55,0.15,100,"orange",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,62,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"64","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.35,0.53,0.12,50,"orange",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,63,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
